Rank;State/UT;Population;;Growth (2025);;Share (%);Country;W rank
;;2024;2025;Absolute;%;2025;;
1;Uttar Pradesh;238,875,000;241,265,000;2,390,000;1;17.02;Nigeria;6
2;Bihar;129,205,000;131,041,000;1,836,000;1.42;9.24;Mexico;12
3;Maharashtra;127,684,000;128,659,000;975,000;0.76;9.08;Mexico;12
4;West Bengal;99,723,000;100,202,000;479,000;0.48;7.07;Viet Nam;17
5;Madhya Pradesh;87,954,000;88,985,000;1,031,000;1.17;6.28;Türkiye;18
6;Rajasthan;82,188,000;83,060,000;872,000;1.06;5.86;Germany;20
7;Tamil Nadu;77,165,000;77,394,000;229,000;0.3;5.46;Thailand;20
8;Gujarat;72,653,000;73,513,000;860,000;1.18;5.19;Thailand;20
9;Karnataka;68,256,000;68,679,000;423,000;0.62;4.85;United Kingdom;23
10;Andhra Pradesh;53,402,000;53,586,000;184,000;0.34;3.78;Colombia;28
11;Odisha;46,663,000;46,953,000;290,000;0.62;3.31;Iraq;35
12;Jharkhand;40,129,000;40,626,000;497,000;1.24;2.87;Canada;38
13;Telangana;38,317,000;38,499,000;182,000;0.47;2.72;Morocco;41
14;Assam;36,159,000;36,493,000;334,000;0.92;2.57;Malaysia;44
15;Kerala;35,967,000;36,111,000;144,000;0.4;2.55;Malaysia;44
16;Punjab;30,992,000;31,188,000;196,000;0.63;2.2;Cameroon;51
17;Haryana;30,694,000;31,057,000;363,000;1.18;2.19;Cameroon;51
18;Chhattisgarh;30,638,000;30,982,000;344,000;1.12;2.19;Cameroon;51
UT1;Delhi;21,884,000;22,277,000;393,000;1.8;1.57;Malawi;62
UT2;Jammu & Kashmir;13,733,000;13,831,000;98,000;0.71;0.98;Burundi;79
19;Uttarakhand;11,795,000;11,913,000;118,000;1;0.84;Haiti;82
20;Himachal Pradesh;7,518,000;7,555,000;37,000;0.49;0.53;Turkmenistan;105
21;Tripura;4,194,000;4,232,000;38,000;0.91;0.3;Panama;130
22;Meghalaya;3,387,000;3,417,000;30,000;0.89;0.24;Uruguay;134
23;Manipur;3,260,000;3,289,000;29,000;0.89;0.23;Puerto Rico;135
24;Nagaland;2,258,000;2,279,000;21,000;0.93;0.16;Guinea-Bissau;148
UT3;Puducherry;1,695,000;1,732,000;37,000;2.18;0.12;Kosovo (under UNSC res. 1244);153
25;Arunachal Pradesh;1,580,000;1,594,000;14,000;0.89;0.11;Bahrain;155
26;Goa;1,585,000;1,593,000;8,000;0.5;0.11;Bahrain;155
UT4;Dadra & Nagar Haveli and Daman & Diu;1,387,000;1,479,000;92,000;6.63;0.1;Trinidad and Tobago;156
27;Mizoram;1,252,000;1,264,000;12,000;0.96;0.09;Mauritius;160
UT5;Chandigarh;1,247,000;1,259,000;12,000;0.96;0.09;Eswatini;160
28;Sikkim;697,000;703,000;6,000;0.86;0.05;China, Macao SAR;169
UT6;Andaman and Nicobar Islands;404,000;405,000;1,000;0.25;0.03;Bahamas;178
UT7;Ladakh;302,000;304,000;2,000;0.66;0.02;New Caledonia;185
UT8;Lakshadweep;69,000;69,000;0;0;0;Dominica;206
;India;1,404,910,000;1,417,492,000;12,582,000;0.9;100;;2
