title,company,img_url,project_size,commissioned,offtaker,location,highlights
Punjab 4,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-4-2.jpg?itok=lI-A6XJF,150 MW,2016,Punjab State Power Corporation Limited,"(Dist: Fazilka, Muktasar, Bhathinda), Punjab",North India’s largest private solar power plant at commissioning
Andhra Pradesh 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Andhra-Pradesh-2.jpg?itok=FG5IQvnE,100 MW,2017,NTPC Limited,"Kurnool, Andhra Pradesh",
Telangana 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Telangana-1.jpg?itok=ZueWNBvK,100 MW,2018,NTPC Limited,"(Dist: Rachur, Jillella, Marchala, Rachallapalli, Veljala), Telangana",
Gujarat 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2021-06/Gujarat-2-1.jpg?itok=mCFI8WOv,260 MW,2019,Gujarat Urja Vikas Nigam Limited,"(Dist: Sanes, Chiddra, Vadol, Malooj, Netramali, Vartol, Semaliya), Gujarat",95 MWs was commissioned approximately 5 months ahead of the scheduled PPA operation date
Rajasthan 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-3-3.jpg?itok=b189Cj9K,100 MW,2015,Solar Energy Corporation of India,"Jodhpur, Rajasthan",Largest operating project under NSM at commissioning
Karnataka 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-3.jpg?itok=01ucMWex,130 MW,2016,"Chamundeshwari Electricity Supply Company Limited, Hubli Electricity Supply Company Limited and Gulbarga Electricity Supply Company Limited","Chitradurga, Karnataka",
Maharashtra 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Maharashtra-3.jpg?itok=2T4Ua4P0,130 MW,2019,Maharashtra State Electricity Distribution Company Limited,"Bhadla, Rajasthan",
Karnataka 4,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-4.jpg?itok=qufy1fBU,100 MW,2017,Bangalore Electricty Supply Company and Hubli Electricty Supply Company,"Pavagada Solar Park, Karnataka","The project has been set up at Pavagada Solar Park, one of the largest solar parks in the world"
Rajasthan 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-2.jpg?itok=lAupePGd,35 MW,2013,NTPC Vidyut Vyapar Nigam Limited,"Nagaur, Rajasthan",
Andhra Pradesh 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Andhra-Pradesh-3.jpg?itok=Q5jOZ1cu,50 MW,2018,Solar Energy Corporation of India,"Kadapa, Andhra Pradesh",
Punjab 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-2-1.jpg?itok=I8HduQWA,34 MW,2014,Punjab State Power Corporation Limited,"(Dist: Fazilka, Mukatsar), Punjab",North India’s largest private solar power plant at commissioning
Uttar Pradesh 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Uttar-Pradesh-2.jpg?itok=4kDOJ8Xg,50 MW,2017,NTPC Limited,"(Dist: Banda , Shahjahanpur, Hardoi), Uttar Pradesh",
Rajasthan 5,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-5.jpg?itok=l1X7a-GD,200 MW,2019,Solar Energy Corporation of India,"Bhadla, Rajasthan",
Uttar Pradesh 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Uttar-Pradesh-3.jpg?itok=z6S4cyE6,40 MW,2018,Solar Energy Corporation of India,"Orai, Uttar Pradesh",
Punjab 3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-3-1.jpg?itok=InWObqmK,28MW,2016,Punjab State Power Corporation Limited,"Muktsar, Punjab",
Chhattisgarh 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Chhatisgarh-1_0.jpg?itok=45Gmxrph,30 MW,2015,Chhattisgarh State Power Distribution Company Limited,"Durg, Chhattisgarh",First private utility scale solar power plant in the state
Andhra Pradesh 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Andhra-Pradesh-1.jpg?itok=oh4Mzb0W,50 MW,2016,Southern Power Distribution Com of AP Ltd,"Anantapur, Andhra Pradesh",The largest capacity solar plant at a single site upon commissioning in the state of Andhra Pradesh
Karnataka 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-1.jpg?itok=DSE34HpE,10 MW,2015,Bangalore Electricity Supply Company Limited,"Chitradurga, Karnataka",
Karnataka 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-1.jpg?itok=DSE34HpE,10 MW,2015,Bangalore Electricity Supply Company Limited,"Chitradurga, Karnataka",
Punjab 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Punjab-1-2.jpg?itok=XpsB7mmm,2 MW,2009,NTPC Vidyut Vyapar Nigam Limited,"Awan, Punjab",India's first private utility scale solar project
Rajasthan 4,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Rajasthan-4.jpg?itok=xfIQfk7W,5 MW,2015,Solar Energy Corporation of India,"Jaisalmer, Rajasthan",First private project under JNNSM that provides electricity to Indo-Pak border outposts
Maharashtra 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Maharashtra-1.jpg?itok=-AAjs8x5,7 MW,2017,"Ordnance factory (Bhandara &amp; Ambajhari), Maharashtra","Nagpur, Maharashtra",
Gujarat 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Gujarat-1.jpg?itok=wGLauRcR,10 MW,2011,Gujarat Urja Vikas Nigam Limited,"Sabarkatha, Gujarat",India's largest solar power plant at commissioning
Karnataka 2,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Karnataka-2.jpg?itok=AtTlVqUi,10 MW,2016,Bangalore Electricity Supply Company Limited,"Chitradurga, Karnataka",
Uttar Pradesh 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Uttar-Pradesh-1.jpg?itok=ukKgiCri,10 MW,2015,Uttar Pradesh Power Corporation Limited,"Mahoba, Uttar Pradesh",First private utility scale solar power plant in the state
Bihar 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Bihar-1_0.jpg?itok=lynlJDlz,10 MW,2016,North &amp; South Bihar Power Distribution Company Ltd,"West Champaran (Bettiah), Bihar",
Delhi 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2020-09/Delhi-1.jpg?itok=Uaoqwojw,2 MW,2015,Solar Energy Corporation of India,Delhi,Located within the premises of what used to be a thermal power station in the capital city of New Delhi
Assam 1,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2023-02/Assam1.jpeg?itok=0eBkIxVB,90 MW,2022,Assam Power Distribution Company Limited,"(Dist: Udalguri, Kamrup, Nagaon, Cachar), Assam",Largest solar power project in Assam
Rajasthan 6,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2021-06/Rajasthan-6.jpg?itok=QDNX9AdW,600 MW,2021,Solar Energy Corporation of India,"Bikaner, Rajasthan",Largest owned and operated single site solar project by any developer in India
SECI -  3,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2025-04/SECI%203_0.jpg?itok=9Tk-x8_q,300 MW,2022,Solar Energy Corporation of India,"Bap, Jodhpur, Rajasthan",
SECI -  4,AzurePower,https://www.azurepower.com/sites/default/files/styles/1153_600/public/2025-04/SECI%204.jpg?itok=INK4noew,300 MW,2023,Solar Energy Corporation of India,"Bap, Jodhpur, Rajasthan",
